(133.76800537109375, 125.43006134033203, 477.4765319824219, 221.64910888671875)
(276.97900390625, 230.527099609375, 334.2650451660156, 251.92518615722656)
(133.76797485351562, 250.9591064453125, 477.47406005859375, 275.44708251953125)
(231.56396484375, 278.277099609375, 288.705810546875, 310.7371826171875)
(288.7090148925781, 286.9610900878906, 296.9480895996094, 296.9237060546875)
(271.59698486328125, 278.27703857421875, 369.9598388671875, 310.73712158203125)
(369.9630126953125, 286.9610900878906, 378.20208740234375, 296.9237060546875)
(133.76803588867188, 300.5340881347656, 477.47052001953125, 336.9410095214844)
(285.9420166015625, 346.1410827636719, 321.1229553222656, 369.9171142578125)
(133.7680206298828, 359.7150573730469, 477.4389343261719, 396.12200927734375)
(303.134033203125, 693.300048828125, 308.1153259277344, 705.8330078125)
